,0,1,2,3,4,5,6,7,8,9,10,11
0,mag-f1,mesh-f1,co-view-map,co-view-ndcg,co-read-map,co-read-ndcg,cite-map,cite-ndcg,co-cite-map,co-cite-ndcg,recomm-adj-NDCG,recomm-adj-P@1
1,80.61,85.14,83.65,91.52,84.43,92.37,88.29,94.87,88.24,94.86,54.06,20.17
