,0,1,2,3,4,5,6,7,8,9,10,11
0,mag-f1,mesh-f1,co-view-map,co-view-ndcg,co-read-map,co-read-ndcg,cite-map,cite-ndcg,co-cite-map,co-cite-ndcg,recomm-adj-NDCG,recomm-adj-P@1
1,81.1,85.39,83.66,91.52,84.47,92.4,88.29,94.88,88.16,94.81,54.05,20.18
