,0,1,2,3,4,5,6,7,8,9,10,11
0,mag-f1,mesh-f1,co-view-map,co-view-ndcg,co-read-map,co-read-ndcg,cite-map,cite-ndcg,co-cite-map,co-cite-ndcg,recomm-adj-NDCG,recomm-adj-P@1
1,80.1,84.14,83.63,91.51,84.46,92.37,88.18,94.78,88.18,94.81,53.97,20.12
