,0,1,2,3,4,5,6,7,8,9,10,11
0,mag-f1,mesh-f1,co-view-map,co-view-ndcg,co-read-map,co-read-ndcg,cite-map,cite-ndcg,co-cite-map,co-cite-ndcg,recomm-adj-NDCG,recomm-adj-P@1
1,75.0,71.49,82.93,91.17,83.64,91.92,86.6,93.92,87.37,94.29,53.55,20.23
